,site_id,site_name,easting,northing,min_year,max_year,region,HA_NUM,G_ID,S_ID,rbd_id,wb_id,mncat_id,opcat_id,organisation,lon,lat,material,determinands,geometry,Cd_mean
0,S28888,AFON RHYD Y VALLEY U/S AFON BRAINT,245115,365418,2025,2025,S2,102,HA102G01,HA102G01S0007,,,,,NRW,-4.318236,53.163307,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'S28888', 'det_label': 'Cadmium, Dissolved', 'det_desc': None, 'num_samples': 51, 'num_measurements': 2, 'file': 'riv_sites_det_102_106.geojson', 'mean_measurements': 0.1000000014901161}]",POINT (-4.318236 53.163307),0.1
1,NE-SSN0045,HET HILL BURN UPSTREAM OF CONF OF BREAMI,397508,615064,2025,2025,NE,21,HA021G07,HA021G07S0008,2.0,GB102021073041,3100.0,3379.0,EA,-2.04094,55.429467,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN0045', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 19, 'num_measurements': 1, 'file': 'riv_sites_det_21_106.geojson', 'mean_measurements': 0.02}]",POINT (-2.04094 55.429467),0.02
2,NE-SSN0301,SSN0301 TRIB OF LILBURN,402861,624059,2025,2025,NE,21,HA021G07,HA021G07S0071,2.0,GB102021072900,3100.0,3379.0,EA,-1.956266,55.51029,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN0301', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 5, 'num_measurements': 1, 'file': 'riv_sites_det_21_106.geojson', 'mean_measurements': 0.01}]",POINT (-1.956266 55.51029),0.01
3,NE-SSN0317,SSN0317 SHIPTONDEAN BURN,395294,639372,2025,2025,NE,21,HA021G07,HA021G07S0126,2.0,GB102021073050,3100.0,3379.0,EA,-2.076347,55.647863,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN0317', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 5, 'num_measurements': 1, 'file': 'riv_sites_det_21_106.geojson', 'mean_measurements': 0.01}]",POINT (-2.076347 55.647863),0.01
4,NE-RSN1327,RSN1327 BLYTH AT BRADFORD HOUSE,405716,579175,2025,2025,NE,22,HA022G01,HA022G01S0032,3.0,GB103022076930,3067.0,3366.0,EA,-1.911956,55.106957,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-RSN1327', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 3, 'num_measurements': 1, 'file': 'riv_sites_det_22_106.geojson', 'mean_measurements': 0.01}]",POINT (-1.911956 55.106957),0.01
5,NE-SSN0221,SSN0221 MOUSEN BURN,413215,633336,2025,2025,NE,22,HA022G05,HA022G05S0054,3.0,GB103022076430,3067.0,3030.0,EA,-1.791887,55.593477,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN0221', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 6, 'num_measurements': 2, 'file': 'riv_sites_det_22_106.geojson', 'mean_measurements': 0.01}]",POINT (-1.791887 55.593477),0.01
6,NE-SSN0285,SSN0285 TRIB OF HEPSCOTT BURN,422184,583345,2025,2025,NE,22,HA022G01,HA022G01S0038,3.0,GB103022076230,3067.0,3036.0,EA,-1.653521,55.143968,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN0285', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 8, 'num_measurements': 1, 'file': 'riv_sites_det_22_106.geojson', 'mean_measurements': 0.01}]",POINT (-1.653521 55.143968),0.01
7,NE-SSN0861,SSN0861 STOCKING BURN,417444,613559,2025,2025,NE,22,HA022G04,HA022G04S0015,3.0,GB103022076350,3067.0,3006.0,EA,-1.726022,55.415645,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN0861', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 5, 'num_measurements': 1, 'file': 'riv_sites_det_22_106.geojson', 'mean_measurements': 0.01}]",POINT (-1.726022 55.415645),0.01
8,NE-SSN0925,SSN0925 SPOUT BURN,403703,603760,2025,2025,NE,22,HA022G03,HA022G03S0033,3.0,GB103022076700,3067.0,3107.0,EA,-1.943196,55.327889,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN0925', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 5, 'num_measurements': 1, 'file': 'riv_sites_det_22_106.geojson', 'mean_measurements': 0.01}]",POINT (-1.943196 55.327889),0.01
9,NE-SSN1565,SSN1565 HOWDEN SIKE,400301,584908,2025,2025,NE,22,HA022G02,HA022G02S0010,3.0,GB103022076990,3067.0,3515.0,EA,-1.996825,55.158504,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN1565', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 5, 'num_measurements': 1, 'file': 'riv_sites_det_22_106.geojson', 'mean_measurements': 0.01}]",POINT (-1.996825 55.158504),0.01
